1,deg,discharge (Sv/1deg lat).,Case = 921 River,,
J,lat,Atlantic,Pacific,Indian,GlobalOcn
44,-46.5,0,0.00072,0,0.00154
43,-47.5,0,0.00106,0,0.00238
42,-48.5,0,0.00009,0,0
41,-49.5,0,0.00008,0,0
40,-50.5,0.0015,0.00008,0,0.0016
39,-51.5,0,0,0,0
38,-52.5,0,0,0,0
37,-53.5,0,0,0,0
36,-54.5,0,0,0,0
35,-55.5,0,0,0,0
34,-56.5,0,0,0,0
33,-57.5,0,0,0,0
32,-58.5,0,0,0,0
31,-59.5,0,0,0,0
30,-60.5,0,0,0,0
29,-61.5,0,0,0,0
28,-62.5,0,0,0,0
27,-63.5,0,0,0,0
26,-64.5,0,0,0,0
25,-65.5,0,0,0,0
24,-66.5,0,0,0,0
23,-67.5,0,0,0,0
22,-68.5,0,0,0,0
21,-69.5,0,0,0,0
20,-70.5,0,0,0,0
19,-71.5,0,0,0,0
18,-72.5,0,0,0,0
17,-73.5,0,0,0,0
16,-74.5,0,0,0,0
15,-75.5,0,0,0,0
14,-76.5,0,0,0,0
13,-77.5,0,0,0,0
12,-78.5,0,0,0,0
11,-79.5,0,0,0,0
10,-80.5,0,0,0,0
9,-81.5,0,0,0,0
8,-82.5,0,0,0,0
7,-83.5,0,0,0,0
6,-84.5,0,0,0,0
5,-85.5,0,0,0,0
4,-86.5,0,0,0,0
3,-87.5,0,0,0,0
2,-88.5,0,0,0,0
1,-89.5,0,0,0,0
