Indian,deg,discharge (Sv/1deg lat).,,,,,,,,,,,
J,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
133,42.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
132,41.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
131,40.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
130,39.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
129,38.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
128,37.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
127,36.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
126,35.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
125,34.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
124,33.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
123,32.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
122,31.5,2.13E-03,2.83E-03,4.42E-03,7.23E-03,7.46E-03,4.55E-03,2.19E-03,1.33E-03,1.05E-03,1.05E-03,1.42E-03,1.81E-03
121,30.5,1.56E-03,1.96E-03,2.76E-03,3.58E-03,2.89E-03,1.74E-03,1.19E-03,8.79E-04,7.13E-04,7.52E-04,1.25E-03,1.20E-03
120,29.5,4.61E-04,5.60E-04,8.56E-04,1.20E-03,1.00E-03,5.93E-04,4.02E-04,2.97E-04,2.41E-04,2.77E-04,5.18E-04,3.81E-04
119,28.5,9.62E-05,5.98E-05,5.86E-05,5.83E-05,1.78E-05,1.26E-05,1.36E-05,1.70E-05,1.35E-05,1.60E-05,2.00E-05,3.05E-05
118,27.5,1.20E-04,7.71E-05,6.97E-05,6.35E-05,1.85E-05,1.34E-05,1.46E-05,1.82E-05,1.45E-05,1.51E-05,1.48E-05,3.54E-05
117,26.5,1.77E-04,1.75E-04,2.16E-04,3.28E-04,9.20E-04,2.37E-03,3.05E-03,2.89E-03,2.46E-03,1.41E-03,4.48E-04,2.64E-04
116,25.5,3.35E-04,3.31E-04,4.09E-04,6.21E-04,1.74E-03,4.49E-03,5.77E-03,5.46E-03,4.65E-03,2.66E-03,8.47E-04,4.99E-04
115,24.5,7.87E-03,6.67E-03,6.85E-03,1.05E-02,1.85E-02,4.07E-02,7.64E-02,1.01E-01,8.78E-02,4.43E-02,1.85E-02,1.08E-02
114,23.5,1.03E-04,8.22E-05,1.77E-04,1.57E-04,2.45E-04,1.33E-03,2.41E-03,3.05E-03,2.72E-03,1.17E-03,3.04E-04,1.40E-04
113,22.5,1.10E-04,6.84E-05,2.58E-04,2.36E-04,4.87E-04,3.97E-03,4.26E-03,6.68E-03,6.39E-03,2.08E-03,6.76E-04,2.22E-04
112,21.5,8.30E-04,5.80E-04,2.51E-03,2.36E-03,3.34E-03,2.06E-02,1.76E-02,1.80E-02,1.54E-02,5.76E-03,1.79E-03,1.24E-03
111,20.5,1.50E-03,1.51E-03,6.28E-03,6.44E-03,5.35E-03,1.82E-02,1.72E-02,2.08E-02,1.14E-02,4.96E-03,2.27E-03,1.77E-03
110,19.5,2.41E-04,1.79E-04,1.23E-04,9.16E-05,9.27E-05,1.35E-04,2.35E-04,5.33E-04,8.87E-04,9.97E-04,8.01E-04,4.18E-04
109,18.5,1.08E-03,8.03E-04,6.54E-04,5.47E-04,6.05E-04,1.29E-03,2.60E-03,4.98E-03,4.08E-03,3.05E-03,1.81E-03,1.22E-03
